candidate,election_name,candidate_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct,ward,wp_distric,wp_name,town,town_id,pop_2020,area_miles,perimeter,shape_area,shape_len
"alissa,nicol",select_board,Alissa,2,162,2346,6.90537084398977,584,27.7397260273973,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"alissa,nicol",select_board,Alissa,3,294,2582,11.3865220759101,1062,27.683615819209,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"alissa,nicol",select_board,Alissa,4,244,2383,10.2391942929081,774,31.5245478036176,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"alissa,nicol",select_board,Alissa,5,252,2384,10.5704697986577,666,37.8378378378378,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"alissa,nicol",select_board,Alissa,6,221,2343,9.43235168587281,652,33.8957055214724,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"alissa,nicol",select_board,Alissa,7,111,2038,5.44651619234544,378,29.3650793650794,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"frances,osman",select_board,Frances,1,64,1890,3.38624338624339,260,24.6153846153846,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"frances,osman",select_board,Frances,2,165,2346,7.03324808184143,584,28.2534246575343,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"frances,osman",select_board,Frances,3,284,2582,10.9992254066615,1062,26.7419962335217,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"frances,osman",select_board,Frances,4,192,2383,8.05707091900965,774,24.8062015503876,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"frances,osman",select_board,Frances,5,143,2384,5.99832214765101,666,21.4714714714715,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
"frances,osman",select_board,Frances,6,169,2343,7.21297481860862,652,25.920245398773,,"6",Acton Precinct 6,ACTON,"2",3316,3.28999996,9.59000015,8510541.56807,15440.2386749
"frances,osman",select_board,Frances,7,90,2038,4.41609421000981,378,23.8095238095238,,"7",Acton Precinct 7,ACTON,"2",3369,3.25,9.77000046,8412192.34646,15726.0660266
"write,in",select_board,Write,1,0,1890,0,260,0,,"1",Acton Precinct 1,ACTON,"2",3457,2.20000005,7.86999989,5690555.89727,12667.5725015
"write,in",select_board,Write,2,2,2346,0.0852514919011083,584,0.342465753424658,,"2",Acton Precinct 2,ACTON,"2",3344,3.72000003,10.21000004,9639979.63048,16439.4488578
"write,in",select_board,Write,3,5,2582,0.193648334624322,1062,0.470809792843691,,"3",Acton Precinct 3,ACTON,"2",3585,2.13000011,7.03000021,5510891.39562,11313.8060786
"write,in",select_board,Write,4,3,2383,0.125891733109526,774,0.387596899224806,,"4",Acton Precinct 4,ACTON,"2",3434,2.77999997,7.01999998,7197528.9734,11303.6206045
"write,in",select_board,Write,5,1,2384,0.0419463087248322,666,0.15015015015015,,"5",Acton Precinct 5,ACTON,"2",3516,2.94000006,7.53999996,7604337.19163,12141.3925561
