candidate,election_name,precinct,votes,total_possible_votes,registered_votes_pct,total_votes_cast,cast_votes_pct
no,question_two,pct_6,208,1602,12.983770287141075,1090,19.08256880733945
no,question_two,pct_6a,85,740,11.486486486486488,467,18.201284796573873
no,question_two,pct_7,261,2074,12.584378013500483,1224,21.323529411764707
blanks,question_three,pct_1,51,1930,2.6424870466321244,1072,4.757462686567164
blanks,question_three,pct_2,70,2317,3.0211480362537766,1572,4.4529262086514
blanks,question_three,pct_3,61,2581,2.3634250290585044,1783,3.4212002243409985
blanks,question_three,pct_4,88,2368,3.7162162162162162,1581,5.566097406704618
blanks,question_three,pct_5,72,2399,3.0012505210504377,1571,4.583068109484405
blanks,question_three,pct_6,52,1602,3.245942571785269,1090,4.770642201834862
blanks,question_three,pct_6a,16,740,2.1621621621621623,467,3.4261241970021414
blanks,question_three,pct_7,64,2074,3.085824493731919,1224,5.228758169934641
yes,question_three,pct_1,484,1930,25.077720207253883,1072,45.149253731343286
yes,question_three,pct_2,811,2317,35.00215796288304,1572,51.590330788804074
yes,question_three,pct_3,930,2581,36.03254552499031,1783,52.159282108805385
yes,question_three,pct_4,829,2368,35.00844594594595,1581,52.435167615433265
yes,question_three,pct_5,799,2399,33.30554397665694,1571,50.85932527052832
yes,question_three,pct_6,579,1602,36.142322097378276,1090,53.11926605504587
yes,question_three,pct_6a,237,740,32.027027027027025,467,50.74946466809421
yes,question_three,pct_7,565,2074,27.242044358727096,1224,46.16013071895425
no,question_three,pct_1,537,1930,27.82383419689119,1072,50.093283582089555
no,question_three,pct_2,691,2317,29.82304704359085,1572,43.95674300254453
no,question_three,pct_3,792,2581,30.685780705153043,1783,44.41951766685362
no,question_three,pct_4,664,2368,28.040540540540544,1581,41.998734977862114
no,question_three,pct_5,700,2399,29.178824510212586,1571,44.55760661998727
no,question_three,pct_6,459,1602,28.651685393258425,1090,42.11009174311926
no,question_three,pct_6a,214,740,28.91891891891892,467,45.82441113490364
no,question_three,pct_7,595,2074,28.688524590163933,1224,48.61111111111111
blanks,question_four,pct_1,21,1930,1.0880829015544042,1072,1.9589552238805972
blanks,question_four,pct_2,26,2317,1.122140699179974,1572,1.653944020356234
blanks,question_four,pct_3,14,2581,0.5424254165052305,1783,0.7851934941110488
blanks,question_four,pct_4,29,2368,1.224662162162162,1581,1.8342820999367486
blanks,question_four,pct_5,25,2399,1.0421008753647354,1571,1.5913430935709738
blanks,question_four,pct_6,19,1602,1.1860174781523096,1090,1.743119266055046
blanks,question_four,pct_6a,4,740,0.5405405405405406,467,0.8565310492505354
blanks,question_four,pct_7,22,2074,1.0607521697203472,1224,1.7973856209150325
yes,question_four,pct_1,674,1930,34.92227979274611,1072,62.873134328358205
yes,question_four,pct_2,1037,2317,44.75615019421666,1572,65.96692111959288
yes,question_four,pct_3,1208,2581,46.80356450987989,1783,67.75098149186763
yes,question_four,pct_4,1097,2368,46.326013513513516,1581,69.38646426312461
yes,question_four,pct_5,1093,2399,45.560650270946226,1571,69.57352005092298
yes,question_four,pct_6,738,1602,46.06741573033708,1090,67.70642201834862
yes,question_four,pct_6a,336,740,45.40540540540541,467,71.94860813704497
yes,question_four,pct_7,790,2074,38.09064609450338,1224,64.54248366013073
no,question_four,pct_1,377,1930,19.533678756476682,1072,35.167910447761194
no,question_four,pct_2,509,2317,21.96806214933103,1572,32.37913486005089
no,question_four,pct_3,561,2581,21.73576133281674,1783,31.463825014021314
no,question_four,pct_4,455,2368,19.214527027027025,1581,28.779253636938645
